Rang,Abs. Frekv.,Promille,Kumulert,Ord
617,2065,0.14,606.96,skjedde
618,2063,0.14,607.1,sammenheng
619,2051,0.14,607.24,avtalen
620,2050,0.14,607.38,behandling
621,2046,0.14,607.52,kun
622,2045,0.14,607.66,t
623,2043,0.14,607.8,500
624,2040,0.14,607.94,gro
625,2040,0.14,608.08,meter
626,2040,0.14,608.22,stilling
627,2038,0.14,608.36,ikkje
628,2038,0.14,608.5,regner
629,2037,0.14,608.64,basert
630,2037,0.14,608.78,setter
631,2035,0.14,608.92,hvilken
632,2035,0.14,609.06,kjell
633,2016,0.14,609.19,årets
634,2005,0.14,609.33,200
635,2004,0.14,609.47,jobb
636,2000,0.14,609.61,selve
637,1998,0.14,609.74,års
638,1994,0.14,609.88,tvil
639,1984,0.14,610.02,verdens
640,1982,0.14,610.15,snakke
641,1979,0.14,610.29,lage
642,1979,0.14,610.42,nettet
643,1977,0.14,610.56,knyttet
644,1974,0.14,610.69,lavere
645,1973,0.14,610.83,of
646,1970,0.14,610.96,innebærer
647,1965,0.13,611.1,brann
648,1965,0.13,611.23,helst
649,1961,0.13,611.37,slo
650,1960,0.13,611.5,opplyser
651,1957,0.13,611.64,system
652,1955,0.13,611.77,føler
653,1952,0.13,611.9,viktige
654,1946,0.13,612.04,tilfelle
655,1946,0.13,612.17,øke
656,1943,0.13,612.3,slags
657,1940,0.13,612.44,august
658,1940,0.13,612.57,mor
659,1938,0.13,612.7,september
660,1938,0.13,612.83,situasjon
661,1937,0.13,612.97,far
662,1926,0.13,613.1,0
663,1926,0.13,613.23,endelig
664,1924,0.13,613.36,systemet
665,1922,0.13,613.5,omfattende
666,1919,0.13,613.63,navn
667,1919,0.13,613.76,åtte
668,1918,0.13,613.89,din
669,1917,0.13,614.02,derimot
670,1901,0.13,614.15,erstatning
671,1899,0.13,614.28,lange
672,1896,0.13,614.41,valg
673,1894,0.13,614.54,borte
674,1893,0.13,614.67,ap
675,1893,0.13,614.8,endringer
676,1892,0.13,614.93,sendt
677,1886,0.13,615.06,retten
678,1880,0.13,615.19,jobber
679,1879,0.13,615.32,resultatet
680,1878,0.13,615.45,møter
681,1875,0.13,615.57,selvsagt
682,1873,0.13,615.7,hus
683,1873,0.13,615.83,inneholder
684,1867,0.13,615.96,oktober
685,1865,0.13,616.09,svar
686,1864,0.13,616.21,hodet
687,1859,0.13,616.34,loven
688,1852,0.13,616.47,raskt
689,1851,0.13,616.6,1996
690,1851,0.13,616.72,privat
691,1850,0.13,616.85,eu
692,1850,0.13,616.98,vekt
693,1845,0.13,617.1,aller
694,1845,0.13,617.23,sist
695,1842,0.13,617.36,fortsette
696,1839,0.13,617.48,saker
697,1838,0.13,617.61,landets
698,1837,0.13,617.73,sykehus
699,1834,0.13,617.86,rolle
700,1833,0.13,617.98,uansett
701,1832,0.13,618.11,spiller
702,1832,0.13,618.24,tore
703,1830,0.13,618.36,drept
704,1830,0.13,618.49,produkter
705,1829,0.13,618.61,løsning
706,1829,0.13,618.74,stand
707,1826,0.13,618.86,rette
708,1826,0.13,618.99,skolen
709,1825,0.13,619.11,partiet
710,1818,0.12,619.24,russiske
711,1817,0.12,619.36,28
712,1816,0.12,619.49,pc
713,1815,0.12,619.61,jobben
714,1815,0.12,619.73,kraftig
715,1814,0.12,619.86,1991
716,1808,0.12,619.98,israel
717,1808,0.12,620.11,mai
718,1806,0.12,620.23,valget
719,1805,0.12,620.35,lokale
720,1803,0.12,620.48,deretter
721,1800,0.12,620.6,80
722,1799,0.12,620.72,myndighetene
723,1797,0.12,620.85,tilbud
724,1795,0.12,620.97,ferdig
725,1790,0.12,621.09,startet
726,1782,0.12,621.22,kamp
727,1781,0.12,621.34,juni
728,1770,0.12,621.46,ansvaret
729,1767,0.12,621.58,gis
730,1766,0.12,621.7,bakgrunn
731,1766,0.12,621.82,kjøpe
732,1764,0.12,621.94,hittil
733,1764,0.12,622.06,kommune
734,1763,0.12,622.18,fremst
735,1762,0.12,622.31,vassdrag
736,1756,0.12,622.43,naturlig
737,1753,0.12,622.55,lille
738,1752,0.12,622.67,sentrale
739,1750,0.12,622.79,danmark
740,1750,0.12,622.91,ventet
741,1750,0.12,623.03,ytterligere
742,1748,0.12,623.15,tv
743,1744,0.12,623.27,stod
744,1743,0.12,623.38,vant
745,1740,0.12,623.5,departementet
746,1740,0.12,623.62,skape
747,1738,0.12,623.74,knut
748,1734,0.12,623.86,døde
749,1734,0.12,623.98,glad
750,1734,0.12,624.1,reglene
751,1729,0.12,624.22,høyt
752,1727,0.12,624.34,ferd
753,1724,0.12,624.45,enten
754,1724,0.12,624.57,falt
755,1724,0.12,624.69,versjon
756,1722,0.12,624.81,forholdet
757,1722,0.12,624.93,programmet
758,1720,0.12,625.04,terje
759,1720,0.12,625.16,understreker
760,1719,0.12,625.28,neppe
761,1715,0.12,625.4,snakket
762,1714,0.12,625.51,ekstra
763,1711,0.12,625.63,sentrum
764,1711,0.12,625.75,slutten
765,1709,0.12,625.87,efter
766,1704,0.12,625.98,tjenester
767,1703,0.12,626.1,prisen
768,1702,0.12,626.22,lar
769,1702,0.12,626.33,prosjektet
770,1702,0.12,626.45,sterke
771,1695,0.12,626.57,bilen
772,1694,0.12,626.68,åpne
773,1693,0.12,626.8,26
774,1690,0.12,626.91,virksomhet
775,1687,0.12,627.03,mitt
776,1686,0.12,627.15,avisen
777,1682,0.12,627.26,70
778,1682,0.12,627.38,minutter
779,1680,0.12,627.49,g
780,1677,0.11,627.61,nylig
781,1674,0.11,627.72,salg
782,1674,0.11,627.84,sikkerhet
783,1672,0.11,627.95,forslaget
784,1671,0.11,628.06,resten
785,1668,0.11,628.18,begynner
786,1668,0.11,628.29,gjøres
787,1668,0.11,628.41,h
788,1665,0.11,628.52,myndigheter
789,1663,0.11,628.64,anne
790,1662,0.11,628.75,omgang
791,1662,0.11,628.86,spille
792,1661,0.11,628.98,27
793,1659,0.11,629.09,vurdere
794,1658,0.11,629.2,virker
795,1657,0.11,629.32,as
